補助金ID,大項目,中項目,小項目,事業名,対象年齢,対象世帯所得,補助金額,事業の概要等,キーワード,担当部所,電話番号,PDFページ
1001,,,,とっとり農業経営・就農支援ネットワーク事業,,,詳細参照,○法人化、経営継承、労務管理等により経営発展を目指す農業者に対し、専門家派遣などの 関係機関連携による伴走支援によって、経営の課題解決をサポート。,"体験,担い手,経営,相談,研修,就農",関係機関連携による伴走支援によって、経営の課,0857-26-7262,
1002,,,,アグリスタート研修支援事業,,,詳細参照,農家等での実践的研修や農業経営に関する研修を行い、県内での独立就農を目指す取り組み を支援。,"担い手,資金,経営,相談,研修,就農",農林水産部農業振興局経営支援課,0857-26-8350,
1003,,,,就農研修交付金事業,,,補助率    ・10/10 （県費のみ） ●交付要件等 ・鳥取県在住または在住予定であり、主業として農業に就業する意欲を有していること,る生活支援を受けられない方に交付金を交付。,"就農,経営,研修,雇用",農林水産部農業振興局経営支援課,0857-26-7263,
1004,,,,公共職業訓練「アグリチャレンジ科」,,,詳細参照,特に技能習得を重視し、６割の研修時間を技能演習で構成しています。 指示された言葉を理解し、1人でも基本的な機械・農具の扱いができるレベルへの到達が目標 です。研修修了後の就職先に関する情報提供等、進路選択のサポートを農大が行います。 ①研修期間 約4ヶ月間（予定） 研修期間                                                            募集定,"経営,トラクター,機械,研修,鳥獣,ハウス,雇用,就農,有機",（求職者で公共職業安定所,0858-45-2411,
1005,,,,スキルアップ研修（短期研修）,,,詳細参照,各品目の栽培特性、防除や施肥等に関する基礎知識習得のための座学講義のほか、グルー プでの栽培管理実習を行います。 約４ヶ月間で、植付準備から収穫までの一連の栽培管理作業を経験することができます。 ①研修期間…約4ヶ月間 ②定員等 専攻                     研修期間（予定）                                               募集定員 白ね,"就農,研修",不明,0858-45-2411,
1006,,,,スキルアップ研修（長期研修）,,,詳細参照,ど）を作成し、栽培から出荷までの一連の作業を経験の上、実績分析まで行うことで、模擬的に 農業経営を体験できます。 自営に向けた営農計画作成演習や農家派遣研修をカリキュラムに備えており、経営のイメージ を固めていくことができます。 ①研修期間 12ヶ月間 ②定員等 専攻                研修期間（予定）                                          ,"就農,経営,研修,体験",不明,0858-45-2411,
1007,,,,新規就農者総合支援事業【経営発展支援事業】,,,"補助率         3/4 （国1/2、県1/4） 500万円 補助事業対象経費上限 ※ただし、国資金（経営開始資金）を活用しない者は1,000万円",新規就農者が就農後の経営発展に必要な機械、施設等を整備する場合に助成。,"資金,経営,施設,機械,就農",農林水産部農業振興局経営支援課,0857-26-7901,
1008,,,,新規就農者総合支援事業【就農条件整備事業】,,,"補助率         1/2 （県1/3、市町村1/6） （5年間の合計） 通常の場合：1,600万円 家畜導入の場合：1,200万円加算（合計2,800万円） 補助事業対象経費上限 ※令和３年度以前の採択者または国の農業次世代人材投資資金（経営開始型）活用 者は1,200万円とする",合に助成。,"資金,経営,施設,機械,就農",農林水産部農業振興局経営支援課,0857-26-7901,
1009,,,,新規就農者総合支援事業【就農準備資金】,,,補助率     ・10/10 （国費） ●注意事項等 ・資金の交付を受けるためには、研修計画を作成し、県の審査を経て、承認を受ける必要があります,を担う農業者となることを志向する者に対して、就農前の研修期間の生活安定を支援する。,"就農,資金,研修,経営",農林水産部農業振興局経営支援課,0857-26-7261,
1010,,,,新規就農者総合支援事業【経営開始資金】,,,補助率    ・10/10 （国費） ●注意事項等 ・資金の交付には、青年等就農計画等を作成し、市町村の審査を経て、承認を受ける必要があります,代を担う農業者となることを志向する者に対し、就農直後の経営確立を支援する。,"就農,資金,経営",・原則、前年の世帯所,0857-26-7261,
1011,,,,新規就農者総合支援事業【就農応援交付金】,,,"補助率      10/10 （県2/3、市町村1/3） 交付期間      最長3年間 交付額（上限）    100,000円/月 ●注意事項等 ・交付金の交付を受けるためには、青年等就農計画に年次別経営計画等を添付したもの（事業計画）を作成して 市町村の承認を受ける必要があります",交付。,"就農,資金,経営,雇用",農林水産部農業振興局経営支援課,0857-26-7261,
1012,,,,新規就農者総合支援事業【親元就農促進支援交付金】,,,補助率        10/10 （県2/3、市町村1/3） 助成期間       最長2年間（10万円/月） ●主な要件 次のいずれかに該当すること,ハウ等の研修を実施する場合に支援する。,"担い手,資金,経営,研修,就農",農林水産部農業振興局経営支援課,0857-26-7261,
1013,,,,新規就農者総合支援事業【就農・くらしアドバイザー】,,,補助率    10/10（県費のみ） ●主な要件 ・就農後１年以内の認定新規就農者であること,な相談役として就農・くらしアドバイザーを設置する。,"就農,相談,経営",農林水産部農業振興局経営支援課,0857-26-7261,
1014,,,,産地主体型就農促進支援事業,,,"補助率 産地受入協議会事業 新規就農者確 新規就農者の確保育成に必要な活動に要する経費を助 産地受入 （上限） 県1/2、 保活動支援事 成                        協議会の 200千円 市町村 業                               構成組織 /地区     1/2 産地受入条件 研修受入を行う親方農家が研修生に対して実施する技 ＪＡ等  定額      県1/2、 整備事業   術・経営等の研修実施経費を助成                       市町村 （月額40千円/研修生）                          1/2 新規就農希望者の実践研修及び就農に必要な機械施       （事業費の 県1/3、 設等をＪＡ等が整備する経費を助成              上限）     市町村 6,500千円 1/6 /地区 新規就農者等の共同作業場として活用することを目的と           （事業費の したＪＡ等所有の遊休施設の改修、簡易な施設の設置等           上限） に要する経費を助成                           6,000千円 /地区 新規就農者等受入支援事業 優良果樹園・農 新規就農者等が賃借するまでの間、生産者グループ等 ＪＡ等        定額        県1/2、 地の維持管理 が優良果樹園や優良農地を維持管理したり、ほ場条件                       市町村 費助成     の改善に要する経費を助成                                  1/2 （梨：400千円/10a、柿・ぶどう：200千円/10a） （優良農地500千円/100a/地区） 研修園の設置 新規就農希望者が栽培技術習得のために研修園として             定額 費助成     利用する際に見込まれる損失を補填 （梨：200千円/10a、柿：68千円/10a、ぶどう：240千円 /10a） 新規就農者誘致環境整備事業 新規就農者誘 新規就農希望者に対して実施する研修圃場の機械施設 ＪＡ等                   国1/2（全 致環境整備事 等をＪＡ等が整備する経費を助成                                国農業会議 業                                                     所） 担当部署                        電話番号 農林水産部農業振興局経営支援課                         0857-26-7901 農林水産部東部農林事務所農業振興課                       0857-20-3557 問合せ先    農林水産部東部農林事務所八頭事務所農林業振興課農業振興室            0858-72-3809 中部総合事務所農林局農業振興課                         0858-23-3165 西部総合事務所農林局農林業振興課                        0859-31-9643 西部総合事務所日野振興ｾﾝﾀｰ日野振興局農林業振興課農業振興室         0859-72-2003 関連サイト 14",の維持管理、研修や営農開始に必要な機械・施設整備等産地が主体となって実施する受入体 制づくりをパッケージで支援する。,"経営,施設,機械,研修,就農",したＪＡ等所,0857-26-7901,
