ID,事業名,補助金額,事業の概要等,キーワード,担当部所,電話番号,PDFページ
2000,農業補助事業利用ガイドブック 目次,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2001,単         事業名         （                          事業の概要等,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2002,相談       相談したい   ・ トワーク事業（うち就農サポー,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
1002,県 アグリスタート研修支援事業,詳細参照,農家等での実践的研修や農業経営に関する研修を行い、県内での独立就農を目指す取り組み を支援。,"経営,資金,研修",農林水産部農業振興局経営支援課,0857-26-8350,
1003,県 就農研修交付金事業,補助率    ・10/10 （県費のみ） ●交付要件等 ・鳥取県在住または在住予定であり、主業として農業に就業する意欲を有していること,る生活支援を受けられない方に交付金を交付。,"経営,研修,雇用",農林水産部農業振興局経営支援課,0857-26-7263,
2005,新規就農者総合支援事業                         新規就農者が就農時に必要な機械、施設等を整備する         経営支援課,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2006,【経営発展支援事業】                          場合に助成。,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2007,【就農条件整備事業】                          場合に助成。,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2008,新規就農者総合支援事業                                                            経営支援課,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2009,規                    【就農準備資金】                                                              0857(26)7261,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2010,資金的に応                                         年間資金を交付。,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2011,援してほし   新規就農者総合支援事業                           新規就農者（原則50歳未満）に対して最長３年間資金を       経営支援課,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2012,い       【経営開始資金】                              交付。                             0857(26)7261,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2013,新規就農者総合支援事業                           新規就農者の就農初期（最長3年間）の運転資金、基盤        経営支援課,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
2014,新規就農者総合支援事業                                                        経営支援課,詳細はガイドブック(PDF)を確認してください,農業振興・就農支援に関する事業です。,"補助金,鳥取県",関連部署,0857-26-7111,
